phrase1,phrase2,sentence1,sentence2,label,idx
heart,heart,the heart and soul of the republican party .,the heart and soul of any democracy is its electorate .,1,5021
finish,finish,his best finish in a major tournament was third .,excitement grew as the finish neared .,0,5022
sense,sense,a sense of self .,a sense of security .,1,5023
bake,bake,bake the potatoes .,she 's been baking all day to prepare for the dinner .,1,5024
blow,blow,to blow a horse .,blow now !,0,5025
toy,toy,to toy with a piece of food on one 's plate .,toy with an idea .,1,5026
drink,drink,can i buy you a drink ?,he took a drink of his beer and smacked his lips .,0,5027
shade,shade,shade the meaning .,"the hillside was bright green , shading towards gold in the drier areas .",1,5028
game,game,i saw through his little game from the start .,you need four people to play this game .,0,5029
field,field,a crop circle was made in a corn field .,they are outstanding in their field .,0,5030
firewood,firewood,"after many days of hard work , we finally had enough firewood for the winter .",they collected and cut their own firewood .,1,5031
serve,serve,they serve a restricted role on the bench .,she served in congress for two terms .,0,5032
border,border,a solid border around a table of figures .,the border between canada and usa is the longest in the world .,0,5033
bounce,bounce,the ex-boxer 's job is to bounce people who want to enter this private club .,the rubber ball bounced .,0,5034
wall,wall,negotiations ran into a brick wall .,a wall of smoke .,1,5035
make,make,do n't make this into a big deal .,make yourself clear .,1,5036
touch,touch,do n't touch my cds !,stefan was touched by the song 's message of hope .,0,5037
connect,connect,the new railroad will connect the northern part of the state to the southern part .,can you connect the two loudspeakers ?,1,5038
taste,taste,the melon had a delicious taste .,the candy left him with a bad taste .,1,5039
opinion,opinion,he asked for a poll of public opinion .,his opinions appeared frequently on the editorial page .,0,5040
have,have,look what i have here — a frog i found on the street !,he had a cold last week .,0,5041
trim,trim,trim an airplane .,trim the photograph .,0,5042
leak,leak,a leak in a gas pipe .,a leak in a boat .,1,5043
use,use,we can use this mathematical formula to solve the problem .,use this knife to slice the bread .,1,5044
submission,submission,his submission to the will of god .,the union was brought into submission .,1,5045
past,past,a book about a time machine that can transport people back into the past .,forget the past .,1,5046
thing,thing,a thing of the spirit .,a funny thing happened on the way to the ...,0,5047
stay,stay,stay alone .,stay put in the corner here !,0,5048
time,time,the judge leniently granted a sentence with no hard time .,he is not living at home because he is doing time .,1,5049
baby,baby,when is your baby due ?,the baby of the supreme court .,0,5050
join,join,many children join a sports club .,most politicians have joined a party .,1,5051
mouth,mouth,they built a fire at the mouth of the cave .,he stuffed his mouth with candy .,0,5052
time,time,"okay , but this is the last time . no more after that !",he called four times .,1,5053
call,call,the mayor likes to call on some of the prominent citizens .,the engineer called round whilst you were away .,1,5054
picture,picture,the author gives a depressing picture of life in poland .,he had no clear picture of himself or his world .,0,5055
roll,roll,i want to get there early ; let 's roll .,the water rolled .,0,5056
floor,floor,the room has a wooden floor .,they needed rugs to cover the bare floors .,1,5057
formation,formation,the formation of memories .,the formation of sentences .,1,5058
avoid,avoid,her former friends now avoid her .,he avoided his nagging .,1,5059
top,top,the title should be written at the top of the first page .,he got a bright red top and string for his birthday .,0,5060
communicate,communicate,i feel i hardly know him ; i just wish he 'd communicate with me a little more .,he and his sons have n't communicated for years .,1,5061
run,run,do n't run that software unless you have permission . ' .,they ran twenty blood tests on me and they still do n't know what 's wrong .,1,5062
skinful,skinful,i was n't thinking straight – i 'd had a skinful that night .,someone had to drive me home last night because i had a skinful .,1,5063
cuddle,cuddle,"i 'm cold ; can you roll over here and cuddle me , honey ?",i cuddled the baby .,1,5064
move,move,"come on guys , let 's move : there 's work to do !",the horse moves a carriage .,0,5065
sound,sound,the sound awakened them .,owen sound .,0,5066
influence,influence,used her parents ' influence to get the job .,she was the most important influence in my life .,0,5067
catch,catch,catch fire .,the bucket catches water from the downspout .,1,5068
apply,apply,apply for a job .,he applied for a leave of absence .,1,5069
trace,trace,trace a design .,the women traced the pasture .,0,5070
pay,pay,pay an obligation .,he was allowed to go as soon as he paid .,1,5071
clear,clear,clear a debt .,the sky cleared .,0,5072
tune,tune,the clarinet was out of tune .,he can not sing in tune .,1,5073
leak,leak,one of the tires developed a leak .,the leaks by chelsea manning showed the secrets of the us military .,0,5074
force,force,may the force be with you .,the forces of evil .,1,5075
section,section,a section of a fishing rod .,she got a job in the historical section of the treasury .,0,5076
play,play,play safe .,play it safe .,1,5077
book,book,the book of isaiah .,genesis is the first book of the bible .,1,5078
follow,follow,can you follow her argument ?,a terrible tsunami followed the earthquake .,0,5079
academy,academy,a riding academy .,academies of literature and philology .,0,5080
appearance,appearance,the rookie made a brief appearance in the first period .,david beckham 's first appearance with the la galaxy at giants stadium against the new york red bulls last night drew a crowd of 66237 .,1,5081
nomination,nomination,the republican nomination for governor .,his nomination was hotly protested .,0,5082
distribute,distribute,the publisher wants to distribute the book in asia .,values distribute .,0,5083
eye,eye,he tried to catch her eye .,the thread would n't go through the eye .,0,5084
performance,performance,they admired his performance under stress .,when roger maris powered four home runs in one game his performance merits awe .,1,5085
emulsion,emulsion,an oil-in-water emulsion .,mayonnaise is an emulsion where egg is used to keep oil and water mixed .,1,5086
see,see,i want to see results .,the 1960 's saw the rebellion of the younger generation against established traditions .,1,5087
pattern,pattern,they stayed in the pattern until the fog lifted .,the traffic patterns around o'hare are very crowded .,1,5088
set,set,set these words in italics .,set the tray down .,0,5089
part,part,they resisted every effort on his part .,they analyzed the river into three parts .,0,5090
find,find,find the product of two numbers .,water is found to be a compound substance .,1,5091
stay,stay,i had to stay at home and watch the children .,"after the trial period , she was asked to stay on and work full-time .",0,5092
strike,strike,please strike this remark from the record .,strike a pose .,0,5093
