,sentence1,sentence2,label,hypothesis_graph_structure
16726,Heterogeneous and  homogeneous mixtures,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16727,Heterogeneous mixtures have a composition that,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16728,Homogeneous and Heterogeneous Mixtures,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16729,"In these cases, they are heterogeneous mixtures.",Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16730,"It is not proper, however, to use the term mole for a heterogeneous or homogeneous mixture.",Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16731,"On the other hand, international migration movements continue to transform the composition of contemporary societies into a complex and heterogeneous mixture of people with diverse identities.",Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16732,Properties of Homogeneous Mixtures and Heterogeneous Mixtures,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16733,The Different Types of Heterogeneous Mixtures,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16734,The Properties of a Heterogeneous Mixture,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16735,The blocks envisaged are vast and heterogeneous in terms of topography and vegetation composition.,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16736,"The composite populations can be regarded as heterogeneous mixtures of homozygous and genetically isolated lines, each represented by one or more individuals.",Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16737,"The first, called a heterogeneous mixture, is distinguished by the fact that different samples of the mixture may have a different composition.",Heterogeneous is the term for a mixture that varies in its composition.,1,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16738,"The preparation of heterogeneous alloys or composites from powder mixtures is, therefore, not possible with mixtures having non-wetting components and pore volume or degassing materials.",Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16739,This heterogeneous mixture is called a eutectic mixture .,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16740,This makes that soil a heterogeneous mixture.,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16741,"Use the terms element, compound, homogeneous mixture, and heterogeneous mixture, to describe common materials.",Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16742,heterogeneous mixture,Heterogeneous is the term for a mixture that varies in its composition.,0,Heterogeneous<>is<>the term for a mixture$$$a mixture<>varies<>in its composition
16743,"2.1 Lees-Edwards boundary conditions The behaviour of these fluids under a shearing force is of great interest and in a desire to simulate the fluid behaviour under a shearing force, Lees-Edwards boundary conditions conditions have been implemented (2) .",Fluid is the term for a state of matter that yields to sideways or shearing forces.,0,Fluid<>is<>the term for a state of matter$$$a state of matter<>yields<>to sideways or shearing forces$$$a state of matter<>yields to sideways<>shearing forces
16744,A fluid is a particular phase of matter that deforms under shear stresses and includes any type of liquid or gas.,Fluid is the term for a state of matter that yields to sideways or shearing forces.,1,Fluid<>is<>the term for a state of matter$$$a state of matter<>yields<>to sideways or shearing forces$$$a state of matter<>yields to sideways<>shearing forces
16745,"A fluid, on the other hand, experiences continuous deformation in response to a shear force.",Fluid is the term for a state of matter that yields to sideways or shearing forces.,1,Fluid<>is<>the term for a state of matter$$$a state of matter<>yields<>to sideways or shearing forces$$$a state of matter<>yields to sideways<>shearing forces
16746,"Assuming the fluid-wall shear force is negligible, we have where is the average fluid velocity.",Fluid is the term for a state of matter that yields to sideways or shearing forces.,0,Fluid<>is<>the term for a state of matter$$$a state of matter<>yields<>to sideways or shearing forces$$$a state of matter<>yields to sideways<>shearing forces
16747,"If the only way that work is dissipated is in shear distortion then there is a point on the yield locus at which spherical stress causes shear distortion, and a wide range of shear distortions for which this ideal soil exhibits fluid pressures.",Fluid is the term for a state of matter that yields to sideways or shearing forces.,0,Fluid<>is<>the term for a state of matter$$$a state of matter<>yields<>to sideways or shearing forces$$$a state of matter<>yields to sideways<>shearing forces
